[INFO] 2022-11-07 19:43:55,285 - Setting: ['enriched_code_outer']
[INFO] 2022-11-07 19:43:55,285 - Config: 
{
    "encoder_epoches": 4,
    "classifier_epoches": 3,
    "data_path": "data/database/codesearch-new",
    "saved_path": "data/codesearchmodel",
    "train_batch_size": 8,
    "eval_batch_size": 16,
    "use_cuda": true,
    "max_nl_len": 32,
    "max_pl_len": 480,
    "filter_K": 100,
    "final_K": 15,
    "test_path": "data/database/codesearch-new/origin_data/java_test_1.jsonl",
    "run_way": "test",
    "confidence": 0.5,
    "margin": 0.25
}
[INFO] 2022-11-07 19:43:55,285 - Loading train dataset...
[INFO] 2022-11-07 19:44:09,632 - Loading eval dataset...
[INFO] 2022-11-07 19:44:09,870 - Loading test dataset...
[INFO] 2022-11-07 19:44:11,862 - Loading encoder...
[INFO] 2022-11-07 19:44:13,963 - Start training...
[INFO] 2022-11-07 19:44:17,467 - Total step: 139188
[INFO] 2022-11-07 20:55:47,140 - Evaluation --- MRR :{1: 0.49367253750815393, 2: 0.5587084148727984, 3: 0.5802783213742144, 5: 0.5958686671015432, 10: 0.6055493430248806, 15: 0.6080151572715156, 50: 0.6105565614403059, 100: 0.610901122103171}, HIT:{1: 0.49367253750815393, 2: 0.6237442922374429, 3: 0.688454011741683, 5: 0.7565557729941291, 10: 0.827136333985649, 15: 0.8584474885844748, 50: 0.9221135029354207, 100: 0.9457273320287019}
[INFO] 2022-11-07 20:55:47,165 - Evaluation --- Max MRR:0, Current MRR:{1: 0.49367253750815393, 2: 0.5587084148727984, 3: 0.5802783213742144, 5: 0.5958686671015432, 10: 0.6055493430248806, 15: 0.6080151572715156, 50: 0.6105565614403059, 100: 0.610901122103171}, Current HIT:{1: 0.49367253750815393, 2: 0.6237442922374429, 3: 0.688454011741683, 5: 0.7565557729941291, 10: 0.827136333985649, 15: 0.8584474885844748, 50: 0.9221135029354207, 100: 0.9457273320287019}
[INFO] 2022-11-07 20:58:09,751 - Epoch:1, Batch:20500, Average Loss:0.008477934604010931, Current Loss:0.0
[INFO] 2022-11-07 21:00:22,643 - Epoch:1, Batch:21000, Average Loss:0.008384712026942343, Current Loss:0.0014148131012916565
[INFO] 2022-11-07 21:02:32,996 - Epoch:1, Batch:21500, Average Loss:0.00829034899452398, Current Loss:0.0
[INFO] 2022-11-07 21:04:15,437 - Epoch:1, Batch:22000, Average Loss:0.008195448240095918, Current Loss:0.0
[INFO] 2022-11-07 21:06:22,497 - Epoch:1, Batch:22500, Average Loss:0.008105916877918774, Current Loss:0.016819685697555542
[INFO] 2022-11-07 21:08:34,573 - Epoch:1, Batch:23000, Average Loss:0.008033337182324865, Current Loss:0.0
[INFO] 2022-11-07 21:10:47,321 - Epoch:1, Batch:23500, Average Loss:0.007961967109682713, Current Loss:0.0
[INFO] 2022-11-07 21:12:59,891 - Epoch:1, Batch:24000, Average Loss:0.00790609209984541, Current Loss:0.0
[INFO] 2022-11-07 21:15:12,134 - Epoch:1, Batch:24500, Average Loss:0.007824853259994059, Current Loss:0.0
[INFO] 2022-11-07 21:17:25,202 - Epoch:1, Batch:25000, Average Loss:0.007732227499783039, Current Loss:0.0
[INFO] 2022-11-07 21:19:37,512 - Epoch:1, Batch:25500, Average Loss:0.007652618795925496, Current Loss:0.0
[INFO] 2022-11-07 21:21:48,734 - Epoch:1, Batch:26000, Average Loss:0.007578345289024023, Current Loss:0.0
[INFO] 2022-11-07 21:23:48,529 - Epoch:1, Batch:26500, Average Loss:0.007504630675012211, Current Loss:0.0
[INFO] 2022-11-07 21:26:00,452 - Epoch:1, Batch:27000, Average Loss:0.007453355753587352, Current Loss:0.008386000990867615
[INFO] 2022-11-07 21:28:11,510 - Epoch:1, Batch:27500, Average Loss:0.007382721829956228, Current Loss:0.0
[INFO] 2022-11-07 21:30:22,607 - Epoch:1, Batch:28000, Average Loss:0.007324461882135698, Current Loss:0.0
[INFO] 2022-11-07 21:32:33,625 - Epoch:1, Batch:28500, Average Loss:0.007269589067289704, Current Loss:0.0
[INFO] 2022-11-07 21:34:45,860 - Epoch:1, Batch:29000, Average Loss:0.007204170107327658, Current Loss:0.0
[INFO] 2022-11-07 21:36:57,121 - Epoch:1, Batch:29500, Average Loss:0.007146114222073959, Current Loss:0.0
[INFO] 2022-11-07 21:39:10,749 - Epoch:1, Batch:30000, Average Loss:0.007096575187891722, Current Loss:0.0
[INFO] 2022-11-07 21:41:21,741 - Epoch:1, Batch:30500, Average Loss:0.007037370901615893, Current Loss:0.0
[INFO] 2022-11-07 21:43:34,184 - Epoch:1, Batch:31000, Average Loss:0.006983317616245439, Current Loss:0.0
[INFO] 2022-11-07 21:45:46,027 - Epoch:1, Batch:31500, Average Loss:0.006933401023348173, Current Loss:0.0
[INFO] 2022-11-07 21:47:57,801 - Epoch:1, Batch:32000, Average Loss:0.006877932603470981, Current Loss:0.0
[INFO] 2022-11-07 21:50:10,465 - Epoch:1, Batch:32500, Average Loss:0.0068214120321548905, Current Loss:0.0
[INFO] 2022-11-07 21:52:22,125 - Epoch:1, Batch:33000, Average Loss:0.006785393354567615, Current Loss:0.0
[INFO] 2022-11-07 21:54:34,729 - Epoch:1, Batch:33500, Average Loss:0.006739642382780118, Current Loss:0.0
[INFO] 2022-11-07 21:56:46,294 - Epoch:1, Batch:34000, Average Loss:0.006704161477658678, Current Loss:0.032277144491672516
[INFO] 2022-11-07 21:58:56,707 - Epoch:1, Batch:34500, Average Loss:0.006660170144576957, Current Loss:0.0
[INFO] 2022-11-07 22:01:10,711 - Epoch:2, Batch:203, Average Loss:0.003486073369463089, Current Loss:0.03595833480358124
[INFO] 2022-11-07 22:03:27,413 - Epoch:2, Batch:703, Average Loss:0.004061341720234449, Current Loss:0.0
[INFO] 2022-11-07 22:05:43,619 - Epoch:2, Batch:1203, Average Loss:0.004393083192810652, Current Loss:0.0
[INFO] 2022-11-07 22:08:00,409 - Epoch:2, Batch:1703, Average Loss:0.00417088485786093, Current Loss:0.0
[INFO] 2022-11-07 22:10:16,306 - Epoch:2, Batch:2203, Average Loss:0.003916309575735846, Current Loss:0.0
[INFO] 2022-11-07 22:12:32,733 - Epoch:2, Batch:2703, Average Loss:0.0037719689273763663, Current Loss:0.0
[INFO] 2022-11-07 22:14:49,693 - Epoch:2, Batch:3203, Average Loss:0.003730905384448704, Current Loss:0.0
[INFO] 2022-11-07 22:17:04,722 - Epoch:2, Batch:3703, Average Loss:0.0036848696230908453, Current Loss:0.0
[INFO] 2022-11-07 22:19:20,671 - Epoch:2, Batch:4203, Average Loss:0.0036030487998763407, Current Loss:0.00019391626119613647
[INFO] 2022-11-07 22:21:34,021 - Epoch:2, Batch:4703, Average Loss:0.0036523590696484086, Current Loss:0.0
[INFO] 2022-11-07 22:23:46,112 - Epoch:2, Batch:5203, Average Loss:0.0036153852504284454, Current Loss:0.0
[INFO] 2022-11-07 22:24:57,248 - Evaluation --- MRR :{1: 0.5106327462491846, 2: 0.5772994129158513, 3: 0.6002609262883253, 5: 0.6154142204827123, 10: 0.6244261174789556, 15: 0.6264702095034768, 50: 0.6287666286814206, 100: 0.6290642560786786}, HIT:{1: 0.5106327462491846, 2: 0.643966079582518, 3: 0.7128506196999348, 5: 0.7788649706457925, 10: 0.8446183953033268, 15: 0.8701891715590345, 50: 0.9268101761252446, 100: 0.947423352902805}
[INFO] 2022-11-07 22:24:57,250 - Evaluation --- Max MRR:0.6055493430248806, Current MRR:{1: 0.5106327462491846, 2: 0.5772994129158513, 3: 0.6002609262883253, 5: 0.6154142204827123, 10: 0.6244261174789556, 15: 0.6264702095034768, 50: 0.6287666286814206, 100: 0.6290642560786786}, Current HIT:{1: 0.5106327462491846, 2: 0.643966079582518, 3: 0.7128506196999348, 5: 0.7788649706457925, 10: 0.8446183953033268, 15: 0.8701891715590345, 50: 0.9268101761252446, 100: 0.947423352902805}
[INFO] 2022-11-07 22:27:15,693 - Epoch:2, Batch:5703, Average Loss:0.003516452003210945, Current Loss:0.0
[INFO] 2022-11-07 22:29:21,697 - Epoch:2, Batch:6203, Average Loss:0.003443866290720205, Current Loss:0.0
[INFO] 2022-11-07 22:31:27,131 - Epoch:2, Batch:6703, Average Loss:0.0033724949655293815, Current Loss:0.0
[INFO] 2022-11-07 22:33:33,293 - Epoch:2, Batch:7203, Average Loss:0.0033543145931314864, Current Loss:0.0
[INFO] 2022-11-07 22:35:38,737 - Epoch:2, Batch:7703, Average Loss:0.00334821687678803, Current Loss:0.0
[INFO] 2022-11-07 22:37:44,962 - Epoch:2, Batch:8203, Average Loss:0.003325990517808216, Current Loss:0.0
[INFO] 2022-11-07 22:39:50,492 - Epoch:2, Batch:8703, Average Loss:0.0033318763212487573, Current Loss:0.10940144956111908
