[INFO] 2022-11-07 16:04:21,156 - Setting: ['enriched_code_outer']
[INFO] 2022-11-07 16:04:21,156 - Config: 
{
    "encoder_epoches": 4,
    "classifier_epoches": 3,
    "data_path": "data/database/codesearch-new",
    "saved_path": "data/codesearchmodel",
    "train_batch_size": 8,
    "eval_batch_size": 16,
    "use_cuda": true,
    "max_nl_len": 32,
    "max_pl_len": 480,
    "filter_K": 100,
    "final_K": 15,
    "test_path": "data/database/codesearch-new/origin_data/java_test_1.jsonl",
    "run_way": "test",
    "confidence": 0.5
}
[INFO] 2022-11-07 16:04:21,156 - Loading train dataset...
[INFO] 2022-11-07 16:04:36,040 - Loading eval dataset...
[INFO] 2022-11-07 16:04:36,278 - Loading test dataset...
[INFO] 2022-11-07 16:04:38,365 - Loading encoder...
[INFO] 2022-11-07 16:04:40,400 - Start training...
[INFO] 2022-11-07 16:04:41,679 - Total step: 139188
[INFO] 2022-11-07 17:12:43,000 - Evaluation --- MRR :{1: 0.2694063926940639, 2: 0.3178734507501631, 3: 0.33631224179169406, 5: 0.3515568601869972, 10: 0.3635759326561681, 15: 0.36680333799707554, 50: 0.37176020524075065, 100: 0.37270700558628045}, HIT:{1: 0.2694063926940639, 2: 0.36634050880626223, 3: 0.42165688193085454, 5: 0.4883235485975212, 10: 0.5774298760600131, 15: 0.6180039138943249, 50: 0.7479452054794521, 100: 0.8136986301369863}
[INFO] 2022-11-07 17:12:43,043 - Evaluation --- Max MRR:0, Current MRR:{1: 0.2694063926940639, 2: 0.3178734507501631, 3: 0.33631224179169406, 5: 0.3515568601869972, 10: 0.3635759326561681, 15: 0.36680333799707554, 50: 0.37176020524075065, 100: 0.37270700558628045}, Current HIT:{1: 0.2694063926940639, 2: 0.36634050880626223, 3: 0.42165688193085454, 5: 0.4883235485975212, 10: 0.5774298760600131, 15: 0.6180039138943249, 50: 0.7479452054794521, 100: 0.8136986301369863}
[INFO] 2022-11-07 17:14:30,399 - Epoch:1, Batch:20500, Average Loss:0.2244376973219034, Current Loss:0.2621104121208191
[INFO] 2022-11-07 17:16:05,141 - Epoch:1, Batch:21000, Average Loss:0.22304606793288673, Current Loss:0.1503884345293045
[INFO] 2022-11-07 17:17:41,071 - Epoch:1, Batch:21500, Average Loss:0.22192060574126798, Current Loss:0.2379809319972992
[INFO] 2022-11-07 17:19:16,156 - Epoch:1, Batch:22000, Average Loss:0.22071678539941256, Current Loss:0.2888161540031433
[INFO] 2022-11-07 17:20:52,505 - Epoch:1, Batch:22500, Average Loss:0.21966328863269752, Current Loss:0.028182514011859894
[INFO] 2022-11-07 17:22:27,658 - Epoch:1, Batch:23000, Average Loss:0.21851763649738354, Current Loss:0.3891967535018921
[INFO] 2022-11-07 17:24:03,730 - Epoch:1, Batch:23500, Average Loss:0.21745665528260646, Current Loss:0.25381791591644287
[INFO] 2022-11-07 17:25:39,314 - Epoch:1, Batch:24000, Average Loss:0.21631913067835074, Current Loss:0.5753814578056335
[INFO] 2022-11-07 17:27:14,044 - Epoch:1, Batch:24500, Average Loss:0.21543268391489984, Current Loss:0.18727241456508636
[INFO] 2022-11-07 17:28:49,610 - Epoch:1, Batch:25000, Average Loss:0.21440672852396966, Current Loss:0.10638395696878433
[INFO] 2022-11-07 17:30:25,316 - Epoch:1, Batch:25500, Average Loss:0.21341785658253173, Current Loss:0.28238511085510254
[INFO] 2022-11-07 17:31:59,828 - Epoch:1, Batch:26000, Average Loss:0.2125345420599557, Current Loss:0.21915727853775024
[INFO] 2022-11-07 17:33:35,122 - Epoch:1, Batch:26500, Average Loss:0.2115728705831856, Current Loss:0.18950772285461426
[INFO] 2022-11-07 17:35:09,948 - Epoch:1, Batch:27000, Average Loss:0.21045828950681067, Current Loss:0.16964410245418549
[INFO] 2022-11-07 17:36:44,592 - Epoch:1, Batch:27500, Average Loss:0.20957407191558317, Current Loss:0.09436818957328796
[INFO] 2022-11-07 17:38:18,982 - Epoch:1, Batch:28000, Average Loss:0.20882180572487413, Current Loss:0.2679039239883423
[INFO] 2022-11-07 17:39:53,756 - Epoch:1, Batch:28500, Average Loss:0.20796655761751168, Current Loss:0.11933385580778122
[INFO] 2022-11-07 17:41:28,883 - Epoch:1, Batch:29000, Average Loss:0.20712671001974878, Current Loss:0.06326799839735031
[INFO] 2022-11-07 17:43:03,890 - Epoch:1, Batch:29500, Average Loss:0.2062265204297284, Current Loss:0.19082491099834442
[INFO] 2022-11-07 17:44:39,481 - Epoch:1, Batch:30000, Average Loss:0.20549457368552684, Current Loss:0.1652141958475113
[INFO] 2022-11-07 17:46:14,934 - Epoch:1, Batch:30500, Average Loss:0.2047141166444196, Current Loss:0.05873177945613861
[INFO] 2022-11-07 17:47:49,676 - Epoch:1, Batch:31000, Average Loss:0.20399529570004632, Current Loss:0.10079346597194672
[INFO] 2022-11-07 17:49:26,040 - Epoch:1, Batch:31500, Average Loss:0.20333027499417464, Current Loss:0.1407354772090912
[INFO] 2022-11-07 17:51:01,463 - Epoch:1, Batch:32000, Average Loss:0.2026377508705482, Current Loss:0.16106699407100677
[INFO] 2022-11-07 17:52:36,966 - Epoch:1, Batch:32500, Average Loss:0.20194960704056117, Current Loss:0.13061457872390747
[INFO] 2022-11-07 17:54:13,245 - Epoch:1, Batch:33000, Average Loss:0.20119955728541722, Current Loss:0.15535974502563477
[INFO] 2022-11-07 17:55:48,628 - Epoch:1, Batch:33500, Average Loss:0.20052923602110415, Current Loss:0.1986132562160492
[INFO] 2022-11-07 17:57:23,020 - Epoch:1, Batch:34000, Average Loss:0.19984769926833756, Current Loss:0.15382274985313416
[INFO] 2022-11-07 17:58:58,926 - Epoch:1, Batch:34500, Average Loss:0.19926846210010674, Current Loss:0.15935376286506653
[INFO] 2022-11-07 18:00:36,929 - Epoch:2, Batch:203, Average Loss:0.1664755292640531, Current Loss:0.24429446458816528
[INFO] 2022-11-07 18:02:16,094 - Epoch:2, Batch:703, Average Loss:0.16256737757797432, Current Loss:0.10565012693405151
[INFO] 2022-11-07 18:03:55,833 - Epoch:2, Batch:1203, Average Loss:0.16341454649680076, Current Loss:0.048778340220451355
[INFO] 2022-11-07 18:05:35,798 - Epoch:2, Batch:1703, Average Loss:0.16407710701419687, Current Loss:0.25987738370895386
[INFO] 2022-11-07 18:07:15,949 - Epoch:2, Batch:2203, Average Loss:0.1652587804701509, Current Loss:0.18708565831184387
[INFO] 2022-11-07 18:08:55,022 - Epoch:2, Batch:2703, Average Loss:0.16501838934948565, Current Loss:0.16218693554401398
[INFO] 2022-11-07 18:10:34,811 - Epoch:2, Batch:3203, Average Loss:0.1641043551891921, Current Loss:0.17398913204669952
[INFO] 2022-11-07 18:12:14,033 - Epoch:2, Batch:3703, Average Loss:0.16335343805931724, Current Loss:0.1372075229883194
[INFO] 2022-11-07 18:13:54,734 - Epoch:2, Batch:4203, Average Loss:0.16320063744928903, Current Loss:0.23801904916763306
[INFO] 2022-11-07 18:15:35,904 - Epoch:2, Batch:4703, Average Loss:0.1624259561800891, Current Loss:0.02678762376308441
[INFO] 2022-11-07 18:17:16,241 - Epoch:2, Batch:5203, Average Loss:0.16251142569460503, Current Loss:0.18935775756835938
[INFO] 2022-11-07 18:18:09,764 - Evaluation --- MRR :{1: 0.28467058056099154, 2: 0.33405088062622307, 3: 0.3540552293976961, 5: 0.3697890845836059, 10: 0.38116210563373065, 15: 0.3849834332515346, 50: 0.3897233841603389, 100: 0.3905312310561763}, HIT:{1: 0.28467058056099154, 2: 0.38343118069145465, 3: 0.44344422700587083, 5: 0.5116764514024787, 10: 0.597129810828441, 15: 0.6454011741682975, 50: 0.7673842139595565, 100: 0.8236138290932812}
[INFO] 2022-11-07 18:18:09,766 - Evaluation --- Max MRR:0.3635759326561681, Current MRR:{1: 0.28467058056099154, 2: 0.33405088062622307, 3: 0.3540552293976961, 5: 0.3697890845836059, 10: 0.38116210563373065, 15: 0.3849834332515346, 50: 0.3897233841603389, 100: 0.3905312310561763}, Current HIT:{1: 0.28467058056099154, 2: 0.38343118069145465, 3: 0.44344422700587083, 5: 0.5116764514024787, 10: 0.597129810828441, 15: 0.6454011741682975, 50: 0.7673842139595565, 100: 0.8236138290932812}
[INFO] 2022-11-07 18:19:56,929 - Epoch:2, Batch:5703, Average Loss:0.16090035723339732, Current Loss:0.1625891923904419
[INFO] 2022-11-07 18:21:32,699 - Epoch:2, Batch:6203, Average Loss:0.15924953213002094, Current Loss:0.1145651713013649
[INFO] 2022-11-07 18:23:08,495 - Epoch:2, Batch:6703, Average Loss:0.1572689299814722, Current Loss:0.05788947641849518
[INFO] 2022-11-07 18:24:44,453 - Epoch:2, Batch:7203, Average Loss:0.15592418248605747, Current Loss:0.3972032964229584
[INFO] 2022-11-07 18:26:19,893 - Epoch:2, Batch:7703, Average Loss:0.1549964693344585, Current Loss:0.01422496885061264
[INFO] 2022-11-07 18:27:55,655 - Epoch:2, Batch:8203, Average Loss:0.1539315645009966, Current Loss:0.2074170857667923
[INFO] 2022-11-07 18:29:31,000 - Epoch:2, Batch:8703, Average Loss:0.15331947830378645, Current Loss:0.3156614899635315
[INFO] 2022-11-07 18:31:06,637 - Epoch:2, Batch:9203, Average Loss:0.15224333103261642, Current Loss:0.2196899950504303
[INFO] 2022-11-07 18:32:41,319 - Epoch:2, Batch:9703, Average Loss:0.15175437012797321, Current Loss:0.056176163256168365
[INFO] 2022-11-07 18:34:16,900 - Epoch:2, Batch:10203, Average Loss:0.1511978744499522, Current Loss:0.34792405366897583
[INFO] 2022-11-07 18:35:52,943 - Epoch:2, Batch:10703, Average Loss:0.15042562567454282, Current Loss:0.126247838139534
[INFO] 2022-11-07 18:37:29,165 - Epoch:2, Batch:11203, Average Loss:0.1501189137385922, Current Loss:0.3582291603088379
[INFO] 2022-11-07 18:39:04,740 - Epoch:2, Batch:11703, Average Loss:0.1497159626194527, Current Loss:0.1469561755657196
[INFO] 2022-11-07 18:40:39,779 - Epoch:2, Batch:12203, Average Loss:0.14941098270546282, Current Loss:0.12477272003889084
[INFO] 2022-11-07 18:42:15,105 - Epoch:2, Batch:12703, Average Loss:0.14910504183088485, Current Loss:0.07443133741617203
[INFO] 2022-11-07 18:43:50,373 - Epoch:2, Batch:13203, Average Loss:0.14856210431968733, Current Loss:0.15458080172538757
